iter	Passed	Remaining
0	1	180
1	3	167
2	4	161
3	6	148
4	7	145
5	9	146
6	10	143
7	12	141
8	13	140
9	15	138
10	16	137
11	18	136
12	20	134
13	21	132
14	23	131
15	24	129
16	26	128
17	27	126
18	29	125
19	31	124
20	32	123
21	34	121
22	35	120
23	37	118
24	39	117
25	40	116
26	42	114
27	43	112
28	45	111
29	47	110
30	48	108
31	50	106
32	51	105
33	53	103
34	55	102
35	56	100
36	58	98
37	59	97
38	61	95
39	63	94
40	64	93
41	65	90
42	66	88
43	68	87
44	69	85
45	71	83
46	73	82
47	75	81
48	76	80
49	78	78
50	79	76
51	81	75
52	83	73
53	84	72
54	85	70
55	87	68
56	89	67
57	90	65
58	92	64
59	93	62
60	95	61
61	97	59
62	98	57
63	100	56
64	101	54
65	103	53
66	105	51
67	106	50
68	108	48
69	110	47
70	111	45
71	113	44
72	114	42
73	116	40
74	118	39
75	119	37
76	121	36
77	122	34
78	124	33
79	126	31
80	127	29
81	129	28
82	130	26
83	132	25
84	134	23
85	135	22
86	137	20
87	139	18
88	140	17
89	142	15
90	143	14
91	145	12
92	146	11
93	148	9
94	150	7
95	151	6
96	153	4
97	154	3
98	156	1
99	157	0
